3
100
0.179503,0.152968
0.801924,0.849666
0.499730,0.486856
0.051691,0.318083,1
0.070479,0.165771,1
0.310798,0.179067,1
0.270665,0.089690,1
0.097559,0.293470,1
0.296330,0.188126,1
0.153666,0.204653,1
0.225166,0.077444,1
0.143960,0.158526,1
0.248891,0.050511,1
0.034637,0.198098,1
0.168285,0.156909,1
0.115722,0.208046,1
0.299338,0.148194,1
0.088068,0.099761,1
0.034483,0.139759,1
0.084511,0.104962,1
0.305530,0.061975,1
0.284028,0.242862,1
0.151666,0.048254,1
0.202999,0.114662,1
0.236380,0.023331,1
0.319316,0.128212,1
0.100775,0.129942,1
0.286738,0.016333,1
0.180453,0.321376,1
0.214431,0.015405,1
0.144951,0.330152,1
0.223451,0.110956,1
0.145013,0.311519,1
0.210717,0.179496,1
0.117945,0.295227,1
0.284458,0.090142,1
0.357203,0.568486,3
0.666337,0.508868,3
0.616740,0.536003,3
0.623531,0.519786,3
0.559334,0.609513,3
0.647999,0.660109,3
0.406122,0.601404,3
0.343109,0.586575,3
0.589446,0.557539,3
0.601980,0.401064,3
0.554358,0.492098,3
0.512019,0.366038,3
0.470283,0.389403,3
0.545535,0.588228,3
0.351297,0.496659,3
0.345037,0.375166,3
0.398479,0.344707,3
0.550701,0.348552,3
0.547376,0.507565,3
0.535006,0.440043,3
0.450412,0.516338,3
0.433485,0.523200,3
0.451075,0.443261,3
0.443109,0.373854,3
0.334134,0.378422,3
0.441585,0.555159,3
0.537186,0.620271,3
0.587864,0.340803,3
0.343007,0.466732,3
0.595698,0.360970,3
0.630058,0.607401,3
0.402803,0.361870,3
0.618774,0.620170,3
0.710423,0.832817,2
0.794402,0.912095,2
0.939527,0.911480,2
0.761766,0.706345,2
0.768014,0.879508,2
0.816273,0.877789,2
0.920028,0.817073,2
0.922877,0.694946,2
0.705566,0.793397,2
0.981884,0.960096,2
0.800866,0.991557,2
0.760162,0.729897,2
0.685860,0.723553,2
0.670631,0.755329,2
0.752090,0.956072,2
0.708833,0.795846,2
0.788889,0.836568,2
0.707941,0.728416,2
0.748049,0.803040,2
0.768094,0.849396,2
0.682548,0.917701,2
0.727185,0.935909,2
0.734774,0.983396,2
0.964189,0.773673,2
0.776792,0.946072,2
0.733769,0.910992,2
0.937629,0.827264,2
0.974222,0.956823,2
0.884150,0.978187,2
0.712152,0.969573,2
0.934259,0.754319,2
0.765419,0.723148,2
0.924220,0.806693,2
0.000000,0.000000,1
